,Year,Selling_Price,Present_Price,Kms_Driven,Owner,Car_Age,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual
0,2014,335000.0,559000.0,27000,0,11,0,0,1,0,1
1,2013,475000.0,953999.9999999999,43000,0,12,0,1,0,0,1
2,2017,725000.0,985000.0,6900,0,8,0,0,1,0,1
3,2011,285000.0,415000.00000000006,5200,0,14,0,0,1,0,1
4,2014,459999.99999999994,687000.0,42450,0,11,0,1,0,0,1
5,2018,925000.0,983000.0,2071,0,7,0,1,0,0,1
6,2015,675000.0,811999.9999999999,18796,0,10,0,0,1,0,1
7,2015,650000.0,861000.0,33429,0,10,0,1,0,0,1
8,2016,875000.0,889000.0,20273,0,9,0,1,0,0,1
9,2015,745000.0,892000.0,42367,0,10,0,1,0,0,1
10,2017,285000.0,360000.0,2135,0,8,0,0,1,0,1
11,2015,685000.0,1038000.0000000001,51000,0,10,0,1,0,0,1
12,2015,750000.0,994000.0,15000,0,10,0,0,1,1,0
13,2015,610000.0,771000.0,26000,0,10,0,0,1,0,1
14,2009,225000.0,721000.0,77427,0,16,0,0,1,0,1
15,2016,775000.0,1079000.0,43000,0,9,0,1,0,0,1
16,2015,725000.0,1079000.0,41678,0,10,0,1,0,0,1
17,2016,775000.0,1079000.0,43000,0,9,0,1,0,0,1
18,2015,325000.0,509000.0,35500,0,10,1,0,0,0,1
19,2010,265000.0,798000.0,41442,0,15,0,0,1,0,1
20,2016,285000.0,395000.0,25000,0,9,0,0,1,0,1
21,2017,490000.00000000006,571000.0,2400,0,8,0,0,1,0,1
22,2011,440000.00000000006,801000.0,50000,0,14,0,0,1,1,0
23,2014,250000.0,346000.0,45280,0,11,0,0,1,0,1
24,2013,290000.0,441000.0,56879,0,12,0,0,1,0,1
25,2011,300000.0,499000.0,20000,0,14,0,0,1,0,1
26,2013,415000.00000000006,587000.0,55138,0,12,0,0,1,0,1
27,2017,600000.0,649000.0,16200,0,8,0,0,1,0,1
28,2010,195000.0,395000.0,44542,0,15,0,0,1,0,1
29,2015,745000.0,1038000.0000000001,45000,0,10,0,1,0,0,1
30,2012,310000.0,598000.0,51439,0,13,0,1,0,0,1
31,2011,235000.0,488999.99999999994,54200,0,14,0,0,1,0,1
32,2014,495000.0,749000.0,39000,0,11,0,1,0,0,1
33,2014,600000.0,994999.9999999999,45000,0,11,0,1,0,0,1
34,2014,550000.0,806000.0,45000,0,11,0,1,0,0,1
35,2011,295000.0,774000.0,49998,0,14,1,0,0,0,1
36,2015,465000.00000000006,720000.0,48767,0,10,0,0,1,0,1
37,2003,35000.0,227999.99999999997,127000,0,22,0,0,1,0,1
38,2016,300000.0,376000.0,10079,0,9,0,0,1,0,1
39,2003,225000.0,798000.0,62000,0,22,0,0,1,0,1
40,2016,585000.0,787000.0,24524,0,9,0,0,1,1,0
41,2014,254999.99999999997,398000.0,46706,0,11,0,0,1,0,1
42,2008,195000.0,715000.0,58000,0,17,0,0,1,0,1
43,2014,550000.0,806000.0,45780,0,11,0,1,0,0,1
